locationRaw,longitude,latitude,prize,image1,image2,image3
長野市信更町田野口548-2,138.0819114,36.5636448,50000,http://nagano-akiyabank.jp/img/bukken/9001/393831-bPA83ZkdI6.jpg,http://nagano-akiyabank.jp/img/bukken/9001/393831-jqgzsZPfMy.jpg,http://nagano-akiyabank.jp/img/bukken/9001/393831-3gO6iRSzyW.jpg
長野市坂中1736,138.2025257,36.7035329,80000,http://nagano-akiyabank.jp/img/bukken/9001/387374-PDRzbU5Vj2.jpg,http://nagano-akiyabank.jp/img/bukken/9001/387374-T7RBYEqnqd.jpg,http://nagano-akiyabank.jp/img/bukken/9001/387374-b9gPzWWjBY.jpg
長野市浅川３丁目113-27,138.2088249,36.6839786,70000,http://nagano-akiyabank.jp/img/bukken/9001/387336-duzHdaZJFp.jpg,http://nagano-akiyabank.jp/img/bukken/9001/387336-YgeSPCQjxx.jpg,http://nagano-akiyabank.jp/img/bukken/9001/387336-8Pq3z3rUOa.jpg
長野市鬼無里日影6895-9,137.9619026,36.6885117,35000,http://nagano-akiyabank.jp/img/bukken/9001/395981-g97PUQMyzx.jpg,http://nagano-akiyabank.jp/img/bukken/9001/395981-7Cn59oT6mL.jpg,http://nagano-akiyabank.jp/img/bukken/9001/395981-Ld8gQz6onX.jpg
長野市鬼無里12616,137.9914389,36.6790228,10000,http://nagano-akiyabank.jp/img/bukken/9001/397012-9nWRhSO2Ws.jpg,http://nagano-akiyabank.jp/img/bukken/9001/397012-l2M23HHYC6.jpg,http://nagano-akiyabank.jp/img/bukken/9001/397012-NvsFTMCsa5.jpg
長野市鬼無里43-3,138.006441,36.6798386,4000000,http://nagano-akiyabank.jp/img/bukken/9001/375051-ieoUosWhZI.jpg,http://nagano-akiyabank.jp/img/bukken/9001/375051-noaCgRIAvT.jpg,http://nagano-akiyabank.jp/img/bukken/9001/375051-jSftJkajDJ.jpg
長野市若穂川田3287-2,138.2392168,36.6074545,22000000,http://nagano-akiyabank.jp/img/bukken/9001/395227-Ixd8qQFjSj.jpg,http://nagano-akiyabank.jp/img/bukken/9001/395227-hcpFPwTGp0.jpg,http://nagano-akiyabank.jp/img/bukken/9001/395227-VwESZkWG6e.jpg
長野市大字安茂里526-5,138.1688934,36.6398836,5500000,http://nagano-akiyabank.jp/img/bukken/9001/387033-ZujMMU3OGF.jpg,http://nagano-akiyabank.jp/img/bukken/9001/387033-44oO2ltvUh.jpg,http://nagano-akiyabank.jp/img/bukken/9001/387033-AcJ3V9GPWC.jpg
長野市中条住良木908-1,138.0213383,36.6058834,2500000,http://nagano-akiyabank.jp/img/bukken/9001/384003-HbJSJvxE2T.jpg,http://nagano-akiyabank.jp/img/bukken/9001/384003-nGwctUHUc0.jpg,http://nagano-akiyabank.jp/img/bukken/9001/384003-34F5ldyjyY.jpg
長野市信州新町日原東1644-1,137.9836915,36.5548411,2500000,http://nagano-akiyabank.jp/img/bukken/9001/388909-gC1Il3IIHl.jpg,http://nagano-akiyabank.jp/img/bukken/9001/388909-s8vVmEv0uD.jpg,http://nagano-akiyabank.jp/img/bukken/9001/388909-IfZ0EiLFNm.jpg
長野市信更町安庭2125-30,138.0516918,36.5957565,2800000,http://nagano-akiyabank.jp/img/bukken/9001/393144-QixIHrQaq3.jpg,http://nagano-akiyabank.jp/img/bukken/9001/393144-aM5mosw89Q.jpg,http://nagano-akiyabank.jp/img/bukken/9001/393144-ObHCLaLVVj.jpg
